,UniqueCarrier,rorg,rdes
0,Pinnacle Airlines Inc.,77765,106775
1,American Airlines Inc.,5568676,6240468
2,Aloha Airlines Inc.,25670,33609
3,Alaska Airlines Inc.,913090,1398470
4,JetBlue Airways,270795,278017
5,Continental Air Lines Inc.,2833766,3555803
6,Independence Air,215594,261794
7,Delta Air Lines Inc.,7589495,8336525
8,Eastern Air Lines Inc.,210665,425634
9,Atlantic Southeast Airlines,560875,657780
10,Frontier Airlines Inc.,106921,114228
11,AirTran Airways Corporation,368206,450882
12,Hawaiian Airlines Inc.,34547,49635
13,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1297552,1875072
14,Midway Airlines Inc. (1),16597,29531
15,American Eagle Airlines Inc.,1035269,1303649
16,Northwest Airlines Inc.,2949158,4220111
17,Comair Inc.,367466,528235
18,Skywest Airlines Inc.,839312,1023900
19,Pan American World Airways (1),73237,149805
20,Piedmont Aviation Inc.,558231,584091
21,Pacific Southwest Airlines,46500,47913
22,Trans World Airways LLC,1265673,1738764
23,ATA Airlines d/b/a ATA,56744,85122
24,United Air Lines Inc.,5571906,5870872
25,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),6449620,6462758
26,Southwest Airlines Co.,5393863,5952554
27,Expressjet Airlines Inc.,602298,860601
28,Mesa Airlines Inc.,192717,250581
